FID;name;country;sitename;latitude;longitude;collector;collectiondate;CS_number;ID_POP;ID_IMP;Accuracy;
8242;Lillö-1;SWE;Lillö;561.494;157.884;Magnus Nordborg;5/14/2000 0:00;CS77039;RgMap;REF;0.987938687;
8243;PHW-2;ITA;Florence;437.703;112.547;Paul Williams;;CS77173;RgMap;REF;0.968781076;
8244;PHW-34;FRA;Bretagny Sur Orge;486.103;23.086;Paul Williams;;CS77174;1001G;REF;0.980230908;
8245;Seattle-0;USA;Seattle;47;-122.2;Rick Amasino;;;RgMap;IMP;0.96776187;
8246;NC-6;USA;NC;35;-79.18;Joy Bergelson;;CS77124;1001G;REF;0.994972955;
8247;San-2;SWE;Sandåkra;56.07;13.74;Magnus Nordborg;05/12/2000 00:00;CS77233;RgMap;REF;0.993899717;
8249;Vimmerby;SWE;Vimmerby;57.7;15.8;Magnus Nordborg;;CS78845;RgMap;REF;0.983051121;
8254;Ang-0;BEL;Ang;50.3;5.3;Albert Kranz;;;RgMap;IMP;0.960906578;
8256;Bå1-2;SWE;Bå;56.4;12.9;Magnus Nordborg;05/01/2000 00:00;CS76676;RgMap;REF;0.985256555;
8258;Bå4-1;SWE;Bå;56.4;12.9;Magnus Nordborg;05/01/2000 00:00;CS76677;RgMap;REF;0.992078363;
